Latitude,Longitude,Name,Details,Donate
"-8.5793612,31.0157374","IMIN IGHZARN","undefined","0"
"-8.492114,31.313274","LOUALIJA","undefined","0"
"-8.51891,31.355369","AIT AALOUACHE","undefined","0"
"-8.625557,30.973715","ISSOU QAN","undefined","0"
"-8.532431,31.364309","AIT BRAHIM","undefined","0"
"-8.498732,31.424355","SBAYTE","undefined","0"
"-8.506587,31.405448","AIT BELLA","undefined","0"
"-8.494497,31.397795","LAHRARCHA","undefined","0"
"-8.529584,31.393195","AIT HAMANE","undefined","0"
"-8.5041799,31.4946734","LAMAAYACHA","undefined","0"
"-8.4719729,31.4513815","BOULAAROUG","undefined","0"
"-8.591197,31.360394","BEN DOUKKALI","undefined","0"
"-8.5795707,31.4618227","FILALA","undefined","0"
"-8.5837759,31.4719566","ZKARA LIBEL","undefined","0"
"-8.588644,31.27006","LAGHRIBI","undefined","0"
"-8.5822645,31.2480486","LAMADIR","undefined","0"
"-8.622379,31.319785","AIT HASSAYNE","undefined","0"
"-8.5675798,31.2357345","TAGHKIWINE","undefined","0"
"-8.5545049,31.2228935","AIT ABDELLAH","undefined","0"
"-8.567695,31.226585","AGADIR ASLWANE","undefined","0"
"-8.5516482,31.2444947","ONGASTE","undefined","0"
"-8.540922,31.235146","EL BARI","undefined","0"
"-8.54782,31.248933","LHOUCH","undefined","0"
"-8.566999,31.24535","TIHANNAOUINE LAJBAH","undefined","0"
"-8.579349,31.283207","AIT MHAND","undefined","0"
"-8.5133882,31.2539381","TAHTE DRAA","undefined","0"
"-8.5200194,31.255607","AIT WARHMANE","undefined","0"
"-8.52343,31.232708","TACHKAKCHTE","undefined","0"
"-8.520328,31.224576","TIGANGMINE","undefined","0"
"-8.4720872,31.236872","ZAOUIAT SIDI","undefined","0"
"-8.4748283,31.2749168","SAKIAT SOLTANE","undefined","0"
"-8.470341,31.239303","TAGADIRT IGAZAR","undefined","0"
"-8.485418,31.236459","AIT BOU","undefined","0"
"-8.6831447,31.2206175","AIT NIFI","undefined","0"
"-8.4746625,31.2857987","SAHB AIT","undefined","0"
"-8.50419,31.289776","IKFAYANE","undefined","0"
"-8.47197,31.261205","AWRIR","undefined","0"
"-8.6837806,31.1934929","TIGHAZRATINE","undefined","0"
"-8.6529124,31.211133","TNID","undefined","0"
"-8.678342,31.241868","IRIQ TAHTANI","undefined","0"
"-8.650509,31.240864","AIT MELLOUL","undefined","0"
"-8.652895,31.2020357","AGADIR IRAGAGENE","undefined","0"
"-8.6342933,31.1955279","BOUJARATE","undefined","0"
"-8.634055,31.188101","IZAGHRI","undefined","0"
"-8.667219,31.188158","KATTOUSSE","undefined","0"
"-8.599421,31.295554","TIHOUNA IMZILEN","undefined","0"
"-8.588406,31.231832","TAMAZIRT","undefined","0"
"-8.5851922,31.1999596","IDOUGHASS","undefined","0"
"-8.645288,31.2381607","ANAZDI","undefined","0"
"-8.598884,31.233116",""IGUERNA""LLA"","undefined","0"
"-8.621384,31.214587","TOUKHRIBINE","undefined","0"
"-8.604636,31.225514","TAOURIRTE","undefined","0"
"-8.610508,31.220294","AIT ELAIN","undefined","0"
"-8.635297,31.248947","LAMKIMENE","undefined","0"
"-8.595126,31.290993","LQARQBA","undefined","0"
"-8.590697,31.231345","AIT NACER","undefined","0"
"-8.59286,31.224645","AZILAL","undefined","0"
"-8.7486308,31.3059387","SEHB LAATROUSSE","undefined","0"
"-8.8074139,31.2515068","OULAD ABDELMALEK","undefined","0"
"-8.7780548,31.288551","LAKHLALTA OULAD","undefined","0"
"-8.739027,31.3480153","OULAD ZIR","undefined","0"
"-8.8288615,31.2812751","OULAD SIDI","undefined","0"
"-8.5680219,30.996545","TAGHRATE","undefined","0"
"-8.4742026,31.0502255","TAMAGOUNSI","undefined","0"
"-8.4818039,31.0876456","TIZGUI","undefined","0"
"-8.540242,31.043392","ANZELFI","undefined","0"
"-8.4764212,30.9916768","AMESLOH","undefined","0"
"-8.4695487,31.0098417","TADDARATE","undefined","0"
"-8.4788685,31.1082475","TIGNARINE","undefined","0"
"-8.498189,31.156834","TIL IWA","undefined","0"
"-8.486583,31.17519","ZAOUIAT ILAMTI","undefined","0"
"-8.5350979,31.0615865","TAWNGHASTE","undefined","0"
"-8.4877,31.166708","IMINRKHA","undefined","0"
"-8.859564,31.223062","ARATAL BOUCHTA","undefined","0"
"-8.852167,31.212005","AIT IMACHKOUK","undefined","0"
"-8.850055,31.215003","BYOUGRA","undefined","0"
"-8.789249,31.038143","AWOULA","undefined","0"
"-8.7806152,31.1271827","AWINASSE","undefined","0"
"-8.7863099,31.1168122","IGHILANE","undefined","0"
"-8.7976618,31.1581772","TALAT OUQYAR","undefined","0"
"-8.772901,31.240363","AGADIR MHAND","undefined","0"
"-8.7686227,31.2301424","TIGHAMI LAJDID","undefined","0"
"-8.700743,31.177127","MAIDJATE","undefined","0"
"-8.7823242,31.2438026","LAAGABE","undefined","0"
"-8.601452,31.281055","LAHRACH","undefined","0"
"-8.59523,31.289085","MRABTINE","undefined","0"
"-8.580596,31.203047","AIT CHARAF","undefined","0"
"-8.625409,31.170736","AMASSINE","undefined","0"
"-8.591213,31.227883","BIRBBOU","undefined","0"
"-8.507392,31.2531","BOUZOUGA","undefined","0"
"-8.482765,31.293346","DAHRA","undefined","0"
"-8.621835,31.20669","TLAGONS","undefined","0"
"-8.6447854,31.2135236","TABIA","undefined","0"
"-8.564201,31.243824","IGAZDARENE","undefined","0"
"-8.5118042,31.3278094","IZERRABOQ","undefined","0"
"-8.556617,31.241306","ASGAWERE","undefined","0"
"-8.559459,31.2266864","ASLOUNE","undefined","0"
"-8.575604,31.2072812","WIDALENE","undefined","0"
"-8.5502749,31.1931535","TIMICHCHI","undefined","0"
"-8.494655,31.236504","TITE","undefined","0"
"-8.526302,31.245064","TIZI","undefined","0"
"-8.075122,31.419564","OUMNASS","undefined","0"
"-8.3441159,30.9958662","AGADIR NIMARGHSEN","undefined","0"
"-8.3784335,31.0016791","AGHALLA","undefined","0"
"-8.3783382,30.9910755","TAZGZAOUTE","undefined","0"
"-8.363328,30.9931048","TAWRIRTE","undefined","0"
"-8.1604507,30.9998447","IMI NOUGARZI","undefined","0"
"-8.151535,30.9851442","INA FGANE","undefined","0"
"-8.1634577,30.9814001","TASGA NWARG","undefined","0"
"-8.2466571,30.9590941","TASSOUAKTE","undefined","0"
"-8.2556359,30.9386311","TIGAMMA NIGRANE","undefined","0"
"-8.210658,30.959346","AGOURGUINE","undefined","0"
"-8.191605,30.9902355","TARWATE","undefined","0"
"-8.427415,30.9003827","WIZAMMARNE","undefined","0"
"-8.4376005,30.919704","ADOUZ","undefined","0"
"-8.4902207,30.8962752","AGADIR NIJANATEN","undefined","0"
"-8.07858,30.977688","IGHIR","undefined","0"
"-8.0972077,31.0142989","TAJGALTE","undefined","0"
"-8.0296687,31.0003208","TIKENTAFINE","undefined","0"
"-8.0847505,30.9454115","MAJOU","undefined","0"
"-8.0925648,30.9578707","TINFITE","undefined","0"
"-8.139897,31.063167","TOUG EL","undefined","0"
"-8.1381981,31.0721822","TIGOURRAMINE","undefined","0"
"-8.184767,31.092711","WASSANTOTE","undefined","0"
"-8.0249648,30.9983384","AIT AYOUBE","undefined","0"
"-8.0415621,31.0721341","TEZ GUI","undefined","0"
"-8.000638,31.284499","TOYOLI KIKE","undefined","0"
"-8.1811907,31.1325538","AGARDE","undefined","0"
"-8.144488,31.113595","TINISKTE","undefined","0"
"-8.313204,31.269992","BOUESSYL","undefined","0"
"-8.0497909,31.3356706","OUAOUERGE","undefined","0"
"-8.006658,31.336084","IGUER NOUM'ADE","undefined","0"
"-7.9939,31.286918","IMKOUIZA","undefined","0"
"-8.311655,31.241721","LMAHI","undefined","0"
"-8.301701,31.247632","AIT WASMIH","undefined","0"
"-8.308374,31.220249","TIFADDINE","undefined","0"
"-8.290067,31.25226","AIT WAZARNE","undefined","0"
"-8.244681,31.182102","SLAMT","undefined","0"
"-8.261226,31.161819","TOUGUE EL","undefined","0"
"-8.2397165,31.2023808","TIZI GHOURANE","undefined","0"
"-8.223183,31.196605","TAFAGAGHT","undefined","0"
"-8.27,31.091007","ASSOUL","undefined","0"
"-8.259964,31.131632","IMZAINE","undefined","0"
"-7.975984,31.134221","IDAISSA","undefined","0"
"-7.980293,31.142647","TADDARTE","undefined","0"
"-8.3604279,31.2576435","TAGUENZERTE","undefined","0"
"-8.352453,31.265491","BOUIBITASS","undefined","0"
"-8.379009,31.229079","AGADIR ICHAWLIDENE","undefined","0"
"-8.341395,31.234236","AGADIR BARAGHA","undefined","0"
"-8.17237,31.207532","AGUER SOUAK","undefined","0"
"-8.203325,31.196146","AMZZI","undefined","0"
"-8.259619,31.269605","AIT CHKI","undefined","0"
"-8.25695,31.276197","AGADIR SFIH","undefined","0"
"-8.174888,31.223193","WAMAST","undefined","0"
"-8.1151118,31.2100369","ANZAD","undefined","0"
"-8.150344,31.204374","AIT HSSAINE","undefined","0"
"-8.09841,31.354226","OUKHRIBNE","undefined","0"
"-8.076194,31.296363","ZZI","undefined","0"
"-8.080937,31.250409","AGADIR IZNAGUENE","undefined","0"
"-8.07083,31.245908","TADCHARTE","undefined","0"
"-8.181126,31.357438","CHOUIRIJE","undefined","0"
"-8.137451,31.431729","BEN SALEM","undefined","0"
